,genre,artist,track,time_to_peak
77,Rock,Westlife,Swear It Again,91 days 00:00:00.000000000
154,R&B,Baha Men,Who Let The Dogs Out,91 days 00:00:00.000000000
36,Rock,"Gray, Macy",I Try,91 days 00:00:00.000000000
34,Pop,Blaque,Bring It All To Me,91 days 00:00:00.000000000
33,Rock,"Mumba, Samantha",Gotta Tell You,91 days 00:00:00.000000000
50,Rock,Sonique,It Feels So Good,91 days 00:00:00.000000000
91,Rap,IMx,Stay The Night,91 days 00:00:00.000000000
112,Rock,Counting Crows,Hanginaround,84 days 00:00:00.000000000
172,Country,"Davidson, Clay",Unconditional,84 days 00:00:00.000000000
58,Rock,Jagged Edge,Let's Get Married,84 days 00:00:00.000000000
86,Country,"Brock, Chad",Yes!,84 days 00:00:00.000000000
123,Country,"Strait, George",The Best Day,84 days 00:00:00.000000000
173,Rap,DMX,What You Want,84 days 00:00:00.000000000
87,Latin,"Martin, Ricky",Shake Your Bon-Bon,84 days 00:00:00.000000000
53,Rock,Everclear,Wonderful,84 days 00:00:00.000000000
15,Rock,matchbox twenty,Bent,84 days 00:00:00.000000000
10,Rock,N'Sync,It's Gonna Be Me,84 days 00:00:00.000000000
7,Latin,"Iglesias, Enrique",Be With You,84 days 00:00:00.000000000
6,Rock,Destiny's Child,Say My Name,84 days 00:00:00.000000000
124,Country,"Dixie Chicks, The",Without You,77 days 00:00:00.000000000
82,Rap,Ludacris,What's Your Fantasy,77 days 00:00:00.000000000
125,Rap,Musiq,Just Friends (Sunny),77 days 00:00:00.000000000
26,Rock,"Aguilera, Christina",I Turn To You,77 days 00:00:00.000000000
30,Rock,N'Sync,Bye Bye Bye,77 days 00:00:00.000000000
179,Country,"McEntire, Reba",I'll Be,77 days 00:00:00.000000000
90,Country,"Rimes, LeAnn",Big Deal,77 days 00:00:00.000000000
257,Country,"Worley, Darryl",When You Need My Love,77 days 00:00:00.000000000
183,Country,"Gill, Vince",Feels Like Love,77 days 00:00:00.000000000
71,Rap,Jay-Z,Big Pimpin',77 days 00:00:00.000000000
148,Country,"Gilman, Billy",One Voice,77 days 00:00:00.000000000
67,Rock,Barenaked Ladies,Pinch Me,77 days 00:00:00.000000000
234,Rock,Red Hot Chili Peppers,Californication,77 days 00:00:00.000000000
61,Rap,Mystikal,Shake Ya Ass,77 days 00:00:00.000000000
55,Country,"Rimes, LeAnn",I Need You,77 days 00:00:00.000000000
39,Rock,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,77 days 00:00:00.000000000
118,Rock,"Jones, Donell",Where I Wanna Be,77 days 00:00:00.000000000
42,Rock,Blink-182,All The Small Things,77 days 00:00:00.000000000
40,Rock,Nine Days,Absolutely (Story Of A Girl),77 days 00:00:00.000000000
96,Rock,Sammie,I Like It,77 days 00:00:00.000000000
97,Rock,Goo Goo Dolls,Broadway,70 days 00:00:00.000000000
5,Rock,Janet,Doesn't Really Matter,70 days 00:00:00.000000000
156,Country,"McBride, Martina",Love's The Only House,70 days 00:00:00.000000000
4,Rock,"Aguilera, Christina",Come On Over Baby (All I Want Is You),70 days 00:00:00.000000000
288,Electronica,Madison Avenue,Don't Call Me Baby,70 days 00:00:00.000000000
88,Rock,Vertical Horizon,You're A God,70 days 00:00:00.000000000
131,Country,"Evans, Sara",Born To Fly,70 days 00:00:00.000000000
104,Rap,Da Brat,What'Chu Like,70 days 00:00:00.000000000
151,Country,"Lawrence, Tracy",Lessons Learned,70 days 00:00:00.000000000
190,Rap,"Hill, Faith",Let's Make Love,70 days 00:00:00.000000000
162,Country,"Jackson, Alan",Pop A Top,70 days 00:00:00.000000000
188,Country,"Keith, Toby",Country Comes To Town,70 days 00:00:00.000000000
220,Rock,"Blige, Mary J.",Deep Inside,70 days 00:00:00.000000000
221,Rock,"Price, Kelly",You Should've Told Me,70 days 00:00:00.000000000
122,Country,"Keith, Toby",How Do You Like Me Now?!,70 days 00:00:00.000000000
59,Rock,Filter,Take A Picture,70 days 00:00:00.000000000
195,Country,"Chesney, Kenny",What I Need To Do,70 days 00:00:00.000000000
64,Rock,Third Eye Blind,Never Let You Go,70 days 00:00:00.000000000
142,Country,"Jackson, Alan",It Must Be Love,70 days 00:00:00.000000000
120,Country,Lonestar,What About Now,70 days 00:00:00.000000000
141,R&B,Lucy Pearl,Dance Tonight,70 days 00:00:00.000000000
265,Electronica,Fatboy Slim,The Rockafeller Skank,70 days 00:00:00.000000000
16,Rock,"Carey, Mariah",Thank God I Found You,70 days 00:00:00.000000000
169,R&B,Ideal,Whatever,70 days 00:00:00.000000000
138,Country,"Vassar, Phil",Just Another Day In Paradise,63 days 00:00:00.000000000
115,Country,"McGraw, Tim",My Best Friend,63 days 00:00:00.000000000
119,Country,"Paisley, Brad",We Danced,63 days 00:00:00.000000000
152,Country,"Strait, George",Go On,63 days 00:00:00.000000000
153,Rock,Sisqo,Got To Get It,63 days 00:00:00.000000000
106,Country,"Dixie Chicks, The",Cowboy Take Me Away,63 days 00:00:00.000000000
129,Pop,"Fabian, Lara",I Will Love Again,63 days 00:00:00.000000000
132,Country,"Chesney, Kenny",I Lost It,63 days 00:00:00.000000000
186,Rock,"Williams, Robbie",Angels,63 days 00:00:00.000000000
85,Rock,SoulDecision,Faded,63 days 00:00:00.000000000
54,Rap,Ja Rule,Between Me And You,63 days 00:00:00.000000000
57,Rap,Jay-Z,I Just Wanna Love U (Give It 2 Me),63 days 00:00:00.000000000
133,R&B,J-Shin,One Night Stand,63 days 00:00:00.000000000
101,Country,"Messina, Jo Dee",That's The Way,63 days 00:00:00.000000000
181,Country,"Urban, Keith",Your Everything,63 days 00:00:00.000000000
37,Rock,N'Sync,This I Promise You,63 days 00:00:00.000000000
242,Country,"Loveless, Patty",That's The Kind Of Mood I'm In,63 days 00:00:00.000000000
92,Rap,Dr. Dre,The Next Episode,63 days 00:00:00.000000000
159,Country,SheDaisy,I Will.. But,63 days 00:00:00.000000000
290,Rock,Limp Bizkit,Re-Arranged,63 days 00:00:00.000000000
95,Rock,Kandi,Don't Think I'm Not,63 days 00:00:00.000000000
99,Rap,Dr. Dre,Forgot About Dre,63 days 00:00:00.000000000
38,Rock,Ruff Endz,No More,63 days 00:00:00.000000000
217,Pop,M2M,Mirror Mirror,56 days 00:00:00.000000000
264,Rap,Jay-Z,Hey Papi,56 days 00:00:00.000000000
269,Rock,Ginuwine,The Best Man I Can Be,56 days 00:00:00.000000000
155,Country,"Walker, Clay",The Chain Of Love,56 days 00:00:00.000000000
200,Gospel,"Adams, Yolanda",Open My Heart,56 days 00:00:00.000000000
163,Country,"Black, Clint",Been There,56 days 00:00:00.000000000
147,Rock,Vitamin C,Graduation (Friends Forever),56 days 00:00:00.000000000
149,Country,Lonestar,Smile,56 days 00:00:00.000000000
1,Rock,Santana,"Maria, Maria",56 days 00:00:00.000000000
150,Country,"Rogers, Kenny",Buy Me A Rose,56 days 00:00:00.000000000
0,Rock,Destiny's Child,Independent Women Part I,56 days 00:00:00.000000000
158,Country,"Tippin, Aaron",Kiss This,56 days 00:00:00.000000000
72,Rock,Kid Rock,Only God Knows Why,56 days 00:00:00.000000000
105,Rap,DMX,Party Up (Up In Here),56 days 00:00:00.000000000
107,Country,"McGraw, Tim",My Next Thirty Years,56 days 00:00:00.000000000
109,Electronica,Alice Deejay,Better Off Alone,56 days 00:00:00.000000000
60,Latin,"Martin, Ricky",She Bangs,56 days 00:00:00.000000000
98,Pop,"Moore, Mandy",I Wanna Be With You,56 days 00:00:00.000000000
166,Country,"Jackson, Alan",www.memory,49 days 00:00:00.000000000
11,Rock,"Aguilera, Christina",What A Girl Wants,49 days 00:00:00.000000000
274,Country,"Cyrus, Billy Ray",You Won't Be Lonely Now,49 days 00:00:00.000000000
84,Pop,M2M,Don't Say You Love Me,49 days 00:00:00.000000000
204,Country,"McGraw, Tim",Some Things Never Change,49 days 00:00:00.000000000
165,Country,"Vassar, Phil",Carlene,49 days 00:00:00.000000000
94,Rock,Savage Garden,Crash And Burn,49 days 00:00:00.000000000
201,Rap,Shyne,Bad Boyz,49 days 00:00:00.000000000
51,Rock,"Spears, Britney",Oops!.. I Did It Again,49 days 00:00:00.000000000
52,Rock,"Backstreet Boys, The",Shape Of My Heart,49 days 00:00:00.000000000
197,Rap,Da Brat,That's What I'm Looking For,49 days 00:00:00.000000000
79,Rock,"Thomas, Carl",I Wish,49 days 00:00:00.000000000
8,Rock,Sisqo,Incomplete,49 days 00:00:00.000000000
184,Rock,"Houston, Whitney",Could I Have This Kiss Forever,49 days 00:00:00.000000000
180,Latin,"Lopez, Jennifer",Feelin' Good,49 days 00:00:00.000000000
295,Country,"Hart, Beth",L.A. Song,49 days 00:00:00.000000000
74,Country,"Dixie Chicks, The",Goodbye Earl,49 days 00:00:00.000000000
20,Rock,"Braxton, Toni",He Wasn't Man Enough,49 days 00:00:00.000000000
130,Rock,Bon Jovi,It's My Life,49 days 00:00:00.000000000
43,Electronica,Eiffel 65,Blue (Da Ba Dee),49 days 00:00:00.000000000
128,Latin,"Iglesias, Enrique",Rhythm Divine,49 days 00:00:00.000000000
31,Rap,Eminem,The Real Slim Shady,49 days 00:00:00.000000000
227,Country,"Adkins, Trace",More,49 days 00:00:00.000000000
145,Rap,"Jean, Wyclef",911,49 days 00:00:00.000000000
300,Country,"Herndon, Ty",No Mercy,49 days 00:00:00.000000000
252,Country,"Walker, Clay","Live, Laugh, Love",49 days 00:00:00.000000000
113,Rock,Mary Mary,Shackles (Praise You),49 days 00:00:00.000000000
44,Rock,"Badu, Erkyah",Bag Lady,49 days 00:00:00.000000000
136,Country,"Montgomery, John Michael",The Little Girl,49 days 00:00:00.000000000
110,Pop,Hoku,Another Dumb Blonde,49 days 00:00:00.000000000
187,Country,"Messina, Jo Dee",Because You Love Me,42 days 00:00:00.000000000
251,Rap,Ying Yang Twins,Whistle While You Twurk,42 days 00:00:00.000000000
66,R&B,Profyle,Liar,42 days 00:00:00.000000000
189,Reggae,Beenie Man,Girls Dem Sugar,42 days 00:00:00.000000000
228,Country,"Dixie Chicks, The",Cold Day In July,42 days 00:00:00.000000000
193,Rock,3 Doors Down,Loser,42 days 00:00:00.000000000
22,Rock,98¡,Give Me Just One Night (Una Noche),42 days 00:00:00.000000000
261,Country,"Cagle, Chris",My Love Goes On And On,42 days 00:00:00.000000000
223,R&B,"Wright, Chely",It Was,42 days 00:00:00.000000000
205,Rock,"Henley, Don",Taking You Home,42 days 00:00:00.000000000
210,Country,"McBride, Martina",There You Are,42 days 00:00:00.000000000
134,Rap,Eve,Love Is Blind,42 days 00:00:00.000000000
35,Rap,"Elliott, Missy ""Misdemeanor""",Hot Boyz,42 days 00:00:00.000000000
102,Rock,Avant,My First Love,42 days 00:00:00.000000000
81,Pop,"Simpson, Jessica",I Think I'm In Love With You,42 days 00:00:00.000000000
139,Rap,Ice Cube,You Can Do It,42 days 00:00:00.000000000
171,Rock,Ginuwine,None Of Ur Friends Business,42 days 00:00:00.000000000
140,Country,"Wills, Mark",Back At One,42 days 00:00:00.000000000
161,Rap,Black Rob,Whoa!,42 days 00:00:00.000000000
279,Rock,"Moore, Chante",Straight Up,35 days 00:00:00.000000000
127,Rock,"Braxton, Toni",Just Be A Man About It,35 days 00:00:00.000000000
164,Rap,Common,The Light,35 days 00:00:00.000000000
83,Rap,Lil' Zane,Callin' Me,35 days 00:00:00.000000000
206,Rap,Eminem,The Way I Am,35 days 00:00:00.000000000
121,Rock,"Backstreet Boys, The",The One,35 days 00:00:00.000000000
202,Rock,R.E.M.,The Great Beyond,35 days 00:00:00.000000000
303,Rap,Lil' Mo,Ta Da,35 days 00:00:00.000000000
116,Rock,Sugar Ray,Falls Apart,35 days 00:00:00.000000000
280,Rap,Cam'ron,What Means The World To You,35 days 00:00:00.000000000
135,Rock,Aaliyah,I Don't Wanna,35 days 00:00:00.000000000
111,Rock,"Houston, Whitney",I Learned From The Best,35 days 00:00:00.000000000
203,Country,"Diffie, Joe",It's Always Somethin',35 days 00:00:00.000000000
168,Rap,"Eastsidaz, The",G'D Up,35 days 00:00:00.000000000
45,Rock,Pink,There U Go,35 days 00:00:00.000000000
170,Rock,"Thomas, Carl",Emotional,35 days 00:00:00.000000000
248,Rap,Drama,"Left, Right, Left",35 days 00:00:00.000000000
249,Rock,Limp Bizkit,N 2 Gether Now,35 days 00:00:00.000000000
245,Rap,Lil Wayne,Tha Block Is Hot,35 days 00:00:00.000000000
176,Rock,Mya,The Best Of Me,35 days 00:00:00.000000000
191,R&B,Kelis,Caught Out There,35 days 00:00:00.000000000
3,Rock,Madonna,Music,35 days 00:00:00.000000000
235,Rock,Third Eye Blind,Deep Inside Of You,35 days 00:00:00.000000000
263,Rock,Metallica,I Disappear,35 days 00:00:00.000000000
236,Country,"Brooks, Garth",Do What You Gotta Do,28 days 00:00:00.000000000
230,Rap,DMX,What's My Name,28 days 00:00:00.000000000
239,Rock,"Houston, Whitney","Same Script, Different Cast",28 days 00:00:00.000000000
224,Rock,Limp Bizkit,Rollin',28 days 00:00:00.000000000
222,Rock,Changing Faces,That Other Woman,28 days 00:00:00.000000000
233,Rock,"Blige, Mary J.",Give Me You,28 days 00:00:00.000000000
253,Rock,Metallica,No Leaf Clover (Live),28 days 00:00:00.000000000
270,Rock,Before Dark,Monica,28 days 00:00:00.000000000
100,R&B,D'Angelo,Untitled (How Does It Feel),28 days 00:00:00.000000000
196,R&B,"Stone, Angie",No More Rain (In This Cloud),28 days 00:00:00.000000000
185,R&B,Bloodhound Gang,The Bad Touch,28 days 00:00:00.000000000
278,Rap,Trick Daddy,Shut Up,28 days 00:00:00.000000000
178,Rap,Eminem,Stan,28 days 00:00:00.000000000
76,Rap,Lil Bow Wow,Bounce With Me,28 days 00:00:00.000000000
277,Country,"Yearwood, Trisha",Real Live Woman,28 days 00:00:00.000000000
63,Rock,"Spears, Britney",From The Bottom Of My Broken Heart,28 days 00:00:00.000000000
198,Country,SheDaisy,This Woman Needs,28 days 00:00:00.000000000
275,Country,Clark Family Experience,Meanwhile Back At The Ranch,28 days 00:00:00.000000000
93,Rock,"Spears, Britney",Lucky,28 days 00:00:00.000000000
267,Rock,"McKnight, Brian",Stay Or Let It Go,28 days 00:00:00.000000000
68,Rock,Jagged Edge,He Can't Love U,28 days 00:00:00.000000000
276,Rock,"Thomas, Carl",Summer Rain,21 days 00:00:00.000000000
254,Country,Yankee Grey,Another Nine Minutes,21 days 00:00:00.000000000
266,R&B,"Levert, Gerald",Mr. Too Damn Good,21 days 00:00:00.000000000
293,Rock,Tamar,If You Don't Wanna Love Me,21 days 00:00:00.000000000
296,Country,"Diffie, Joe",The Quittin' Kind,21 days 00:00:00.000000000
273,Country,Montgomery Gentry,Daddy Won't Sell The Farm,21 days 00:00:00.000000000
272,Rock,Stone Temple Pilots,Sour Girl,21 days 00:00:00.000000000
304,Pop,A*Teens,Dancing Queen,21 days 00:00:00.000000000
297,Rap,Funkmaster Flex,Do You,21 days 00:00:00.000000000
225,Rap,Hot Boys,I Need A Hot Girl,21 days 00:00:00.000000000
144,Rock,No Doubt,Simple Kind Of Life,21 days 00:00:00.000000000
89,Rock,Avant,Separated,21 days 00:00:00.000000000
240,R&B,D'Angelo,Left & Right,21 days 00:00:00.000000000
182,Rock,TLC,Dear Lie,21 days 00:00:00.000000000
238,Latin,"Anthony, Marc",My Baby You,21 days 00:00:00.000000000
69,Rap,504 Boyz,Wobble Wobble,21 days 00:00:00.000000000
212,Rap,Lil' Kim,No Matter What They Say,21 days 00:00:00.000000000
137,R&B,"Carter, Aaron",Aaron's Party (Come Get It),21 days 00:00:00.000000000
207,R&B,Nas,You Owe Me,21 days 00:00:00.000000000
229,Rock,"Price, Kelly",As We Lay,21 days 00:00:00.000000000
208,Rock,Sister Hazel,Change Your Mind,21 days 00:00:00.000000000
80,Country,Hanson,This Time Around,14 days 00:00:00.000000000
268,Country,"Allan, Gary",Smoke Rings In The Dark,14 days 00:00:00.000000000
167,Rock,Vitamin C,The Itch,14 days 00:00:00.000000000
211,Rock,Usher,Pop Ya Collar,14 days 00:00:00.000000000
75,R&B,Guy,Dancin',14 days 00:00:00.000000000
216,Rock,"Simpson, Jessica",Where You Are,14 days 00:00:00.000000000
192,Rap,Jay-Z,Anything,14 days 00:00:00.000000000
292,R&B,Nu Flavor,3 Little Words,14 days 00:00:00.000000000
174,Rock,"John, Elton",Someday Out Of The Blue,14 days 00:00:00.000000000
283,Rock,Tamia,Can't Go For That,14 days 00:00:00.000000000
215,R&B,Splender,I Think God Can Explain,14 days 00:00:00.000000000
49,Jazz,Kenny G,Auld Lang Syne (The Millenium Mix),14 days 00:00:00.000000000
286,Rock,"Carter, Torrey",Take That,14 days 00:00:00.000000000
117,Rock,Madonna,American Pie,14 days 00:00:00.000000000
246,Rap,2 Pac,Baby Don't Cry (Keep Ya Head Up II),14 days 00:00:00.000000000
241,Rock,"Kravitz, Lenny",I Belong To You,14 days 00:00:00.000000000
237,Rock,"Offspring, The",Original Prankster,14 days 00:00:00.000000000
218,R&B,Kumbia Kings,U Don't Love Me,14 days 00:00:00.000000000
256,Rap,Big Punisher,It's So Hard,14 days 00:00:00.000000000
226,Rap,Jay-Z,Do It Again (Put Ya Hands Up),14 days 00:00:00.000000000
262,Country,"Byrd, Tracy",Put Your Hand In Mine,14 days 00:00:00.000000000
219,Rock,Joe,Treat Her Like A Lady,14 days 00:00:00.000000000
298,Rock,"Price, Kelly",Love Sets You Free,7 days 00:00:00.000000000
302,Rap,Trina,Pull Over,7 days 00:00:00.000000000
305,Rap,"Sheist, Shade",Where I Wanna Be,7 days 00:00:00.000000000
294,R&B,"Levert, Gerald",Baby U Are,7 days 00:00:00.000000000
307,R&B,"Larrieux, Amel",Get Up,7 days 00:00:00.000000000
291,Rock,"Spencer, Tracie",Still In My Heart,7 days 00:00:00.000000000
310,Rap,LL Cool J,Imagine That,7 days 00:00:00.000000000
289,Rap,Eve,Got It All,7 days 00:00:00.000000000
287,R&B,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),7 days 00:00:00.000000000
244,Country,"Rimes, LeAnn",Can't Fight The Moonlight,7 days 00:00:00.000000000
285,Country,"Paisley, Brad",Me Neither,7 days 00:00:00.000000000
213,Rock,LFO,I Don't Wanna Kiss You Goodnight,7 days 00:00:00.000000000
250,Rap,Lox,"Ryde or Die, Chick",7 days 00:00:00.000000000
231,Latin,"Martin, Ricky",Private Emotion,7 days 00:00:00.000000000
255,Rock,"Bega, Lou",Tricky Tricky ,7 days 00:00:00.000000000
260,Country,"Brock, Chad",A Country Boy Can Survive,7 days 00:00:00.000000000
214,Country,SheDaisy,Deck The Halls,7 days 00:00:00.000000000
258,Rap,Lil' Kim,How Many Licks?,7 days 00:00:00.000000000
284,Rock,LFO,West Side Story,7 days 00:00:00.000000000
281,Rap,Juvenile,U Understand,7 days 00:00:00.000000000
209,Rap,Puff Daddy,Best Friend,7 days 00:00:00.000000000
271,Rock,"Estefan, Gloria",No Me Dejes De Querer,0 days 00:00:00.000000000
315,Rap,"Eastsidaz, The",Got Beef,0 days 00:00:00.000000000
314,Rock,Zombie Nation,Kernkraft 400,0 days 00:00:00.000000000
313,Rap,"Smith, Will",Freakin' It,0 days 00:00:00.000000000
312,R&B,Ghostface Killah,Cherchez LaGhost,0 days 00:00:00.000000000
311,Rap,Master P,Souljas,0 days 00:00:00.000000000
247,Rock,"Wallflowers, The",Sleepwalker,0 days 00:00:00.000000000
309,Rock,Tuesday,I Know,0 days 00:00:00.000000000
308,Rock,"Braxton, Toni",Spanish Guitar,0 days 00:00:00.000000000
306,Rap,De La Soul,All Good?,0 days 00:00:00.000000000
232,Rock,Nine Days,If I Am,0 days 00:00:00.000000000
282,Rock,"Hollister, Dave",Can't Stay,0 days 00:00:00.000000000
175,Rock,Pearl Jam,Nothing As It Seems,0 days 00:00:00.000000000
301,Pop,Anastacia,I'm Outta Love,0 days 00:00:00.000000000
259,Country,"Clark, Terri",A Little Gasoline,0 days 00:00:00.000000000
299,Rock,En Vogue,Riddle,0 days 00:00:00.000000000
243,Rock,Q-Tip,Breathe And Stop,0 days 00:00:00.000000000
114,Rock,"Carey, Mariah",Crybaby,0 days 00:00:00.000000000
316,R&B,Fragma,Toca's Miracle,0 days 00:00:00.000000000
